Stock,Accumulation/Distribution Value,Stocks_Ranked
TSLA,91.96,1.0
NFLX,52.87,2.0
NVDA,33.65,3.0
AAPL,19.84,4.0
MTCH,15.83,5.0
AMD,15.59,6.0
SCHW,14.74,7.0
MSFT,13.77,8.0
NKE,11.08,9.0
COP,10.48,10.0
DVN,6.86,11.0
VLO,5.99,12.0
XOM,4.68,13.0
CFG,4.09,14.0
RF,4.08,15.0
BAC,3.19,16.0
WFC,2.64,17.0
CSX,2.48,18.0
GM,2.34,19.0
ORCL,2.19,20.0
V,1.97,21.0
KEY,1.91,22.0
CVX,1.89,23.0
MRO,1.46,24.0
APA,1.44,25.0
HAL,1.09,26.0
FCX,0.8,27.0
HBAN,0.71,28.0
F,0.59,29.0
PBCT,0.55,30.0
INTC,0.2,31.0
MGM,-0.05,32.0
WMB,-0.4,33.0
KMI,-0.75,34.0
OXY,-0.95,35.0
MPC,-1.56,36.0
CSCO,-1.6,37.0
GE,-1.88,38.0
HPE,-1.95,39.0
PG,-2.06,40.0
NUE,-2.17,41.0
LUMN,-2.24,42.0
UAA,-2.98,43.0
SYF,-3.43,44.0
WBA,-3.8,45.0
CTRA,-3.82,46.0
HPQ,-4.77,47.0
JPM,-4.88,48.0
DISCA,-5.26,49.0
NCLH,-5.72,50.0
IPG,-5.83,51.0
CMCSA,-5.9,52.0
LVS,-5.98,53.0
AAL,-6.21,54.0
GPS,-6.56,55.0
C,-6.68,56.0
CVS,-7.14,57.0
T,-7.78,58.0
CCL,-8.21,59.0
UAL,-8.31,60.0
VZ,-8.53,61.0
ATVI,-8.74,62.0
PFE,-8.88,63.0
DAL,-9.65,64.0
ABBV,-10.08,65.0
AMAT,-10.94,66.0
MU,-11.65,67.0
LUV,-12.09,68.0
VIAC,-13.09,69.0
KO,-13.2,70.0
BMY,-16.56,71.0
FB,-18.09,72.0
MS,-18.76,73.0
TMUS,-22.23,74.0
ABT,-23.43,75.0
MRNA,-25.86,76.0
IBM,-27.52,77.0
MRK,-32.17,78.0
DIS,-37.76,79.0
PYPL,-57.41,80.0
BA,-58.82,81.0
